"state","problem_order_count","total_amount_affected","avg_order_value"
"MAHARASHTRA","3096","1196468.8800000001","614.52"
"KARNATAKA","2361","913040.4299999999","635.82"
"TELANGANA","1707","684713.6000000001","667.36"
"UTTAR PRADESH","1667","679987.7","690.34"
"TAMIL NADU","1654","601193.0700000002","601.79"
"KERALA","1177","461460.55000000005","611.21"
"DELHI","930","359837.97000000003","657.84"
"ANDHRA PRADESH","922","362345.23999999993","645.89"
"WEST BENGAL","906","320603.99999999994","642.49"
"Gujarat","620","265201.81999999995","648.42"
