"category","sku","style","total_sales","total_quantity","rank"
"Blouse","J0217-BL-M","J0217","24288.9","35","1"
"Blouse","J0217-BL-L","J0217","20908.33","30","2"
"Blouse","J0217-BL-S","J0217","20670.989999999998","27","3"
"Bottom","BTM038-PP-S","BTM038","2989.9","6","1"
"Bottom","BTM039-PP-XXXL","BTM039","2862.86","7","2"
"Bottom","BTM039-PP-M","BTM039","2828.58","5","3"
"Dupatta","DPT041","DPT041","305.0","1","1"
"Dupatta","DPT052","DPT052","305.0","1","2"
"Dupatta","DPT032","DPT032","305.0","1","3"
"Ethnic Dress","J0006-SET-M","J0006","73072.95000000001","84","1"
